n	ProblemsSolved	QuantileProblemsSolved
1	36294	240985 (100%)
197	6	950 (0.394%)
2	35451	204691 (84.939%)
198	9	944 (0.392%)
3	18779	169240 (70.228%)
199	11	935 (0.388%)
4	12981	150461 (62.436%)
200	19	924 (0.383%)
5	9622	137480 (57.049%)
201	16	905 (0.376%)
6	8748	127858 (53.056%)
202	19	889 (0.369%)
7	8045	119110 (49.426%)
203	11	870 (0.361%)
8	7270	111065 (46.088%)
204	19	859 (0.356%)
9	6822	103795 (43.071%)
205	14	840 (0.349%)
10	8789	96973 (40.24%)
206	12	826 (0.343%)
11	6883	88184 (36.593%)
207	11	814 (0.338%)
12	5065	81301 (33.737%)
208	12	803 (0.333%)
13	4133	76236 (31.635%)
209	9	791 (0.328%)
14	4238	72103 (29.92%)
210	10	782 (0.325%)
15	3886	67865 (28.162%)
211	11	772 (0.32%)
16	3490	63979 (26.549%)
212	10	761 (0.316%)
17	3278	60489 (25.101%)
213	9	751 (0.312%)
18	2610	57211 (23.74%)
214	8	742 (0.308%)
19	2342	54601 (22.657%)
215	7	734 (0.305%)
20	2304	52259 (21.686%)
216	8	727 (0.302%)
21	2150	49955 (20.73%)
217	6	719 (0.298%)
22	2021	47805 (19.837%)
218	15	713 (0.296%)
23	1840	45784 (18.999%)
219	10	698 (0.29%)
24	1455	43944 (18.235%)
220	12	688 (0.285%)
25	2219	42489 (17.631%)
221	14	676 (0.281%)
26	1786	40270 (16.711%)
222	7	662 (0.275%)
27	1487	38484 (15.969%)
223	10	655 (0.272%)
28	1358	36997 (15.352%)
224	5	645 (0.268%)
29	1259	35639 (14.789%)
225	14	640 (0.266%)
30	1277	34380 (14.266%)
226	11	626 (0.26%)
31	1258	33103 (13.737%)
227	4	615 (0.255%)
32	1131	31845 (13.215%)
228	7	611 (0.254%)
33	1016	30714 (12.745%)
229	8	604 (0.251%)
34	908	29698 (12.324%)
230	2	596 (0.247%)
35	885	28790 (11.947%)
231	9	594 (0.246%)
36	873	27905 (11.58%)
232	5	585 (0.243%)
37	784	27032 (11.217%)
233	10	580 (0.241%)
38	789	26248 (10.892%)
234	5	570 (0.237%)
39	686	25459 (10.565%)
235	8	565 (0.234%)
40	643	24773 (10.28%)
236	5	557 (0.231%)
41	611	24130 (10.013%)
237	5	552 (0.229%)
42	535	23519 (9.76%)
238	8	547 (0.227%)
43	595	22984 (9.538%)
239	2	539 (0.224%)
44	506	22389 (9.291%)
240	9	537 (0.223%)
45	511	21883 (9.081%)
241	5	528 (0.219%)
46	446	21372 (8.869%)
242	6	523 (0.217%)
47	408	20926 (8.684%)
243	4	517 (0.215%)
48	382	20518 (8.514%)
244	7	513 (0.213%)
49	319	20136 (8.356%)
245	5	506 (0.21%)
50	908	19817 (8.223%)
246	5	501 (0.208%)
51	653	18909 (7.847%)
247	6	496 (0.206%)
52	571	18256 (7.576%)
248	5	490 (0.203%)
53	556	17685 (7.339%)
249	7	485 (0.201%)
54	518	17129 (7.108%)
250	10	478 (0.198%)
55	447	16611 (6.893%)
251	8	468 (0.194%)
56	430	16164 (6.707%)
252	7	460 (0.191%)
57	446	15734 (6.529%)
253	5	453 (0.188%)
58	429	15288 (6.344%)
254	7	448 (0.186%)
59	469	14859 (6.166%)
255	5	441 (0.183%)
60	502	14390 (5.971%)
256	7	436 (0.181%)
61	421	13888 (5.763%)
257	12	429 (0.178%)
62	378	13467 (5.588%)
258	6	417 (0.173%)
63	392	13089 (5.431%)
259	1	411 (0.171%)
64	386	12697 (5.269%)
260	7	410 (0.17%)
65	412	12311 (5.109%)
261	8	403 (0.167%)
66	361	11899 (4.938%)
262	1	395 (0.164%)
67	368	11538 (4.788%)
263	5	394 (0.163%)
68	302	11170 (4.635%)
264	4	389 (0.161%)
69	309	10868 (4.51%)
265	0	385 (0.16%)
70	303	10559 (4.382%)
266	3	385 (0.16%)
71	276	10256 (4.256%)
267	7	382 (0.159%)
72	245	9980 (4.141%)
268	1	375 (0.156%)
73	233	9735 (4.04%)
269	2	374 (0.155%)
74	221	9502 (3.943%)
270	4	372 (0.154%)
75	283	9281 (3.851%)
271	6	368 (0.153%)
76	284	8998 (3.734%)
272	2	362 (0.15%)
77	261	8714 (3.616%)
273	3	360 (0.149%)
78	243	8453 (3.508%)
274	4	357 (0.148%)
79	205	8210 (3.407%)
275	6	353 (0.146%)
80	198	8005 (3.322%)
276	2	347 (0.144%)
81	226	7807 (3.24%)
277	4	345 (0.143%)
82	180	7581 (3.146%)
278	2	341 (0.142%)
83	179	7401 (3.071%)
279	4	339 (0.141%)
84	180	7222 (2.997%)
280	5	335 (0.139%)
85	184	7042 (2.922%)
281	4	330 (0.137%)
86	154	6858 (2.846%)
282	1	326 (0.135%)
87	165	6704 (2.782%)
283	1	325 (0.135%)
88	137	6539 (2.713%)
284	2	324 (0.134%)
89	133	6402 (2.657%)
285	4	322 (0.134%)
90	156	6269 (2.601%)
286	4	318 (0.132%)
91	132	6113 (2.537%)
287	2	314 (0.13%)
92	131	5981 (2.482%)
288	2	312 (0.129%)
93	107	5850 (2.428%)
289	1	310 (0.129%)
94	106	5743 (2.383%)
290	3	309 (0.128%)
95	125	5637 (2.339%)
291	2	306 (0.127%)
96	104	5512 (2.287%)
292	3	304 (0.126%)
97	88	5408 (2.244%)
293	4	301 (0.125%)
98	74	5320 (2.208%)
294	2	297 (0.123%)
99	78	5246 (2.177%)
295	2	295 (0.122%)
100	236	5168 (2.145%)
296	1	293 (0.122%)
101	149	4932 (2.047%)
297	2	292 (0.121%)
102	150	4783 (1.985%)
298	5	290 (0.12%)
103	136	4633 (1.923%)
299	1	285 (0.118%)
104	114	4497 (1.866%)
300	6	284 (0.118%)
105	113	4383 (1.819%)
301	6	278 (0.115%)
106	90	4270 (1.772%)
302	6	272 (0.113%)
107	102	4180 (1.735%)
303	8	266 (0.11%)
108	100	4078 (1.692%)
304	4	258 (0.107%)
109	85	3978 (1.651%)
305	4	254 (0.105%)
110	81	3893 (1.615%)
306	2	250 (0.104%)
111	85	3812 (1.582%)
307	3	248 (0.103%)
